IdBundesland,IdLandkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,Meldedatum,ObjectId
9,09564,A60-A79,M,3,0,1585353600000,481135
9,09564,A60-A79,W,3,0,1585353600000,481144
9,09564,A80+,W,1,0,1585353600000,481149
9,09565,A15-A34,M,1,0,1585353600000,481152
9,09565,A15-A34,W,1,0,1585353600000,481153
9,09565,A35-A59,unbekannt,1,0,1585353600000,481160
9,09565,A35-A59,W,2,0,1585353600000,481165
9,09565,A60-A79,W,1,0,1585353600000,481168
9,09573,A35-A59,W,1,0,1585353600000,481288
9,09573,A80+,M,1,1,1585353600000,481304
9,09573,A80+,W,2,0,1585353600000,481308
9,09575,A15-A34,W,2,0,1585353600000,481386
9,09575,A35-A59,M,1,0,1585353600000,481392
9,09575,A35-A59,W,1,0,1585353600000,481400
9,09575,A60-A79,M,2,0,1585353600000,481405
9,09576,A15-A34,M,1,0,1585353600000,481422
9,09576,A15-A34,W,1,0,1585353600000,481434
9,09576,A35-A59,unbekannt,1,0,1585353600000,481449
9,09576,A80+,W,1,0,1585353600000,481474
9,09661,A15-A34,M,1,0,1585353600000,481535
9,09662,A15-A34,M,1,0,1585353600000,481563
9,09662,A35-A59,W,2,0,1585353600000,481573
9,09662,A80+,W,1,1,1585353600000,481581
9,09663,A35-A59,M,1,1,1585353600000,481625
9,09663,A35-A59,M,3,0,1585353600000,481626
9,09663,A35-A59,W,5,0,1585353600000,481640
9,09663,A60-A79,M,1,0,1585353600000,481647
9,09663,A60-A79,W,2,0,1585353600000,481660
9,09663,A80+,M,1,0,1585353600000,481675
9,09663,A80+,W,5,0,1585353600000,481687
9,09671,A35-A59,M,1,0,1585353600000,481721
9,09671,A60-A79,M,1,0,1585353600000,481747
9,09673,A35-A59,M,2,0,1585353600000,481809
9,09677,A35-A59,M,1,0,1585353600000,481945
9,09677,A35-A59,W,2,0,1585353600000,481954
9,09677,A60-A79,M,1,0,1585353600000,481957
9,09677,A80+,W,1,0,1585353600000,481963
9,09678,A15-A34,M,5,0,1585353600000,481974
9,09678,A35-A59,M,1,0,1585353600000,481989
9,09679,A35-A59,M,1,0,1585353600000,482052
9,09679,A60-A79,W,1,0,1585353600000,482089
9,09762,A15-A34,M,1,0,1585353600000,482172
9,09762,A15-A34,unbekannt,1,0,1585353600000,482173
9,09762,A15-A34,W,2,0,1585353600000,482176
9,09762,A35-A59,W,1,0,1585353600000,482185
9,09762,A60-A79,M,1,0,1585353600000,482187
9,09762,A60-A79,W,1,0,1585353600000,482191
9,09763,A15-A34,M,1,0,1585353600000,482195
9,09763,A35-A59,M,1,0,1585353600000,482207
9,09763,A60-A79,W,1,0,1585353600000,482221
9,09771,A05-A14,W,1,0,1585353600000,482247
9,09771,A35-A59,M,5,0,1585353600000,482273
9,09771,A35-A59,W,2,0,1585353600000,482283
9,09771,A60-A79,M,1,0,1585353600000,482290
9,09771,A60-A79,W,2,0,1585353600000,482295
9,09773,A15-A34,M,1,0,1585353600000,482366
9,09773,A15-A34,W,1,0,1585353600000,482371
9,09773,A35-A59,W,2,0,1585353600000,482381
9,09773,A60-A79,W,1,0,1585353600000,482387
9,09775,A15-A34,M,2,0,1585353600000,482434
9,09775,A35-A59,M,3,0,1585353600000,482454
9,09775,A35-A59,W,3,0,1585353600000,482467
9,09775,A60-A79,M,3,0,1585353600000,482476
9,09775,A60-A79,W,2,0,1585353600000,482484
9,09777,A15-A34,M,1,0,1585353600000,482557
9,09777,A15-A34,W,3,0,1585353600000,482565
9,09777,A35-A59,W,7,0,1585353600000,482594
9,09778,A00-A04,M,1,0,1585353600000,482616
9,09778,A15-A34,M,4,0,1585353600000,482621
9,09778,A35-A59,M,1,0,1585353600000,482636
9,09778,A35-A59,W,2,0,1585353600000,482645
9,09778,A60-A79,M,4,0,1585353600000,482652
9,09778,A60-A79,W,1,0,1585353600000,482659
9,09779,A15-A34,W,4,0,1585353600000,482678
9,09779,A35-A59,M,4,0,1585353600000,482690
9,09779,A35-A59,W,1,0,1585353600000,482699
9,09779,A80+,W,1,0,1585353600000,482715
9,09780,A15-A34,M,1,0,1585353600000,482724
9,09780,A15-A34,W,3,0,1585353600000,482729
9,09780,A35-A59,M,1,0,1585353600000,482743
9,09780,A35-A59,W,2,0,1585353600000,482754
9,09780,A60-A79,M,2,0,1585353600000,482761
11,11001,A00-A04,M,1,0,1585353600000,483073
